filename,crop_path,class_name,label,width,height,xmin,ymin,xmax,ymax,split
000001.jpg,cropped/000001.jpg,benign,0,718,500,213,83,295,137,train
000002.jpg,cropped/000002.jpg,benign,0,718,500,480,84,546,136,test
000003.jpg,cropped/000003.jpg,benign,0,718,500,126,110,337,270,train
000004.jpg,cropped/000004.jpg,benign,0,718,500,314,104,457,195,train
000005.jpg,cropped/000005.jpg,benign,0,718,500,366,129,500,243,train
000006.jpg,cropped/000006.jpg,benign,0,718,500,210,99,532,322,train
000007.jpg,cropped/000007.jpg,benign,0,718,500,0,44,718,500,train
000008.jpg,cropped/000008.jpg,benign,0,718,500,206,58,705,366,train
000009.jpg,cropped/000009.jpg,benign,0,718,500,141,34,675,429,test
000010.jpg,cropped/000010.jpg,benign,0,818,628,140,68,484,365,train
000011.jpg,cropped/000011.jpg,benign,0,818,628,318,129,504,218,train
000012.jpg,cropped/000012.jpg,malignant,1,718,500,205,122,623,386,train
000013.jpg,cropped/000013.jpg,malignant,1,718,500,164,207,291,341,test
000014.jpg,cropped/000014.jpg,benign,0,718,500,0,46,718,452,train
000015.jpg,cropped/000015.jpg,benign,0,718,500,59,54,539,371,train
000016.jpg,cropped/000016.jpg,benign,0,718,500,273,79,572,235,test
000017.jpg,cropped/000017.jpg,benign,0,718,500,388,150,442,224,test
000018.jpg,cropped/000018.jpg,benign,0,718,500,85,5,706,500,train
000019.jpg,cropped/000019.jpg,benign,0,718,500,47,5,718,500,train
000020.jpg,cropped/000020.jpg,benign,0,498,429,274,145,376,210,train
000021.jpg,cropped/000021.jpg,benign,0,498,429,199,129,296,214,val
000022.jpg,cropped/000022.jpg,benign,0,498,429,77,143,176,288,train
000023.jpg,cropped/000023.jpg,malignant,1,718,500,208,220,332,361,test
000024.jpg,cropped/000024.jpg,benign,0,439,368,3,108,439,368,test
000025.jpg,cropped/000025.jpg,benign,0,498,429,187,70,319,145,test
000026.jpg,cropped/000026.jpg,benign,0,498,429,63,97,266,212,train
000027.jpg,cropped/000027.jpg,benign,0,498,429,201,83,307,151,train
000028.jpg,cropped/000028.jpg,benign,0,498,429,98,106,206,169,val
000029.jpg,cropped/000029.jpg,benign,0,498,429,23,72,498,361,train
000030.jpg,cropped/000030.jpg,benign,0,498,429,65,82,416,387,test
000031.jpg,cropped/000031.jpg,benign,0,498,429,110,67,224,132,train
000032.jpg,cropped/000032.jpg,benign,0,718,500,230,233,305,373,train
000033.jpg,cropped/000033.jpg,benign,0,718,500,330,209,413,276,train
000034.jpg,cropped/000034.jpg,benign,0,718,500,290,140,365,218,train
000035.jpg,cropped/000035.jpg,benign,0,718,500,71,15,718,418,train
000036.jpg,cropped/000036.jpg,benign,0,718,500,13,23,505,376,train
000037.jpg,cropped/000037.jpg,benign,0,439,368,55,22,439,297,train
000038.jpg,cropped/000038.jpg,benign,0,439,368,144,46,402,240,test
000039.jpg,cropped/000039.jpg,benign,0,439,368,191,47,354,177,train
000040.jpg,cropped/000040.jpg,benign,0,439,368,143,24,433,246,train
000041.jpg,cropped/000041.jpg,benign,0,718,500,115,93,667,450,test
000042.jpg,cropped/000042.jpg,benign,0,718,500,253,166,343,267,val
000043.jpg,cropped/000043.jpg,benign,0,718,500,222,152,339,210,train
000044.jpg,cropped/000044.jpg,benign,0,718,500,394,76,468,131,test
000045.jpg,cropped/000045.jpg,benign,0,718,500,270,80,526,404,train
000046.jpg,cropped/000046.jpg,benign,0,718,500,167,75,544,329,train
000047.jpg,cropped/000047.jpg,benign,0,718,500,279,71,571,376,train
000048.jpg,cropped/000048.jpg,benign,0,718,500,376,104,668,353,train
000049.jpg,cropped/000049.jpg,benign,0,718,500,283,174,377,280,train
000050.jpg,cropped/000050.jpg,benign,0,718,500,194,182,277,270,train
000051.jpg,cropped/000051.jpg,benign,0,718,500,286,62,419,189,train
000052.jpg,cropped/000052.jpg,benign,0,718,500,262,69,395,199,train
000053.jpg,cropped/000053.jpg,benign,0,718,500,368,49,595,221,train
000054.jpg,cropped/000054.jpg,benign,0,718,500,194,71,296,165,train
000055.jpg,cropped/000055.jpg,benign,0,718,500,140,55,377,216,train
000056.jpg,cropped/000056.jpg,malignant,1,718,500,183,175,293,290,train
000057.jpg,cropped/000057.jpg,benign,0,718,500,258,54,534,230,train
000058.jpg,cropped/000058.jpg,malignant,1,718,500,289,185,395,285,train
000059.jpg,cropped/000059.jpg,benign,0,818,628,291,157,579,362,test
000060.jpg,cropped/000060.jpg,benign,0,818,628,285,145,617,390,val
000061.jpg,cropped/000061.jpg,benign,0,718,500,297,62,585,212,train
