epoch,train_loss,val_loss,accuracy,precision,recall,f1
1,2.396169978734021,2.1400066539645195,0.566,0.7333333333333333,0.6162464985994398,0.669710806697108
2,2.180171382209482,1.8539125993847847,0.608,0.7555555555555555,0.6666666666666666,0.7083333333333334
3,2.113009940747801,1.9319918621331453,0.576,0.7675276752767528,0.5826330532212886,0.6624203821656051
4,1.9545208753243972,1.8873616578057408,0.592,0.7781818181818182,0.5994397759103641,0.6772151898734177
5,1.7978077363477993,1.7334599802270532,0.622,0.7709677419354839,0.6694677871148459,0.7166416791604198
6,1.804125303070839,1.6808460028842092,0.624,0.7788778877887789,0.6610644257703081,0.7151515151515152
7,1.6383578966469525,1.7052507046610117,0.61,0.7892857142857143,0.6190476190476191,0.6938775510204082
8,1.6389397379334114,1.6367311088833958,0.632,0.7932203389830509,0.6554621848739496,0.7177914110429447
9,1.6218343598249296,1.571199657046236,0.646,0.8061224489795918,0.6638655462184874,0.728110599078341
10,1.5865900402199733,1.5425023608841002,0.64,0.7940199335548173,0.6694677871148459,0.7264437689969605
